/Users/apple/code/open-source/my-projects/web3-practice/.venv/bin/python /Users/apple/code/open-source/my-projects/web3-practice/main.py

block_number=12965000, burn=0.030025257
block_number=12965001, burn=0.033732322138036368
block_number=12965002, burn=0.037900704108787403
block_number=12965003, burn=0.04260850643733033
block_number=12965004, burn=0.047870130183908296
block_number=12965005, burn=0.053808978566108816
block_number=12965006, burn=0.06058834251879238
block_number=12965007, burn=0.068079772399306062
block_number=12965008, burn=0.076540712576659569
block_number=12965009, burn=0.085991851463205696
block_number=12965010, burn=0.096804203552042706
block_number=12965011, burn=0.108841691662152306
block_number=12965012, burn=0.122320326015387577
block_number=12965013, burn=0.137421926072474725
block_number=12965014, burn=0.154402555946418864
block_number=12965015, burn=0.1735707795407057
block_number=12965016, burn=0.195028925160736176
block_number=12965017, burn=0.219226255253428756
block_number=12965018, burn=0.246893163019399855
block_number=12965019, burn=0.277425433727582283
block_number=12965020, burn=0.311734772888790454
block_number=12965021, burn=0.351154550734574482
block_number=12965022, burn=0.395313673917850155
block_number=12965023, burn=0.44516666974389744
block_number=12965024, burn=0.501130387679529909
block_number=12965025, burn=0
block_number=12965026, burn=0.492293722726833576
block_number=12965027, burn=0.55338652552658464
block_number=12965028, burn=0.622022841155951
block_number=12965029, burn=0.700041215460437253
block_number=12965030, burn=0
block_number=12965031, burn=0.42091012495618556
block_number=12965032, burn=0.418382577096491876
block_number=12965033, burn=0.725581869929027472
block_number=12965034, burn=0.074831822774688954
block_number=12965035, burn=0.49792018287615084
block_number=12965036, burn=0.209244387949088402
block_number=12965037, burn=0.18289620364737468
block_number=12965038, burn=0.678038260987523898
block_number=12965039, burn=0.647544747477059025
block_number=12965040, burn=0.828113520392399019
block_number=12965041, burn=0.216328640679621834
block_number=12965042, burn=0.63297823546261728
block_number=12965043, burn=0.23233580730131
block_number=12965044, burn=0.09051011647484676
block_number=12965045, burn=0.63732402386535509
block_number=12965046, burn=0.240134840719964073
block_number=12965047, burn=0.686606664878439185
block_number=12965048, burn=0.681637084532441618
block_number=12965049, burn=0.080722163554136901
block_number=12965050, burn=0.508815779235824272
block_number=12965051, burn=0.609579209707243524
block_number=12965052, burn=0.494725254418888316
block_number=12965053, burn=0.189006498185575268
block_number=12965054, burn=0.196476923765271128
block_number=12965055, burn=0.1972246634973456
block_number=12965056, burn=0.737804852370066894
block_number=12965057, burn=0.446856556249141934
block_number=12965058, burn=0.771403633597627646
block_number=12965059, burn=0.335406735376012743
block_number=12965060, burn=0.40689999835330692
block_number=12965061, burn=0.882005026250424465
block_number=12965062, burn=0.993571748422404186
block_number=12965063, burn=1.116041579763640977
block_number=12965064, burn=1.009127559124421597
block_number=12965065, burn=0.430728724103919242
block_number=12965066, burn=0.25543332085283012
block_number=12965067, burn=0.738854785288167432
block_number=12965068, burn=0.4162229799103676
block_number=12965069, burn=0.621088368942529014
block_number=12965070, burn=0.34569507672849205
block_number=12965071, burn=0.017380920280220995
block_number=12965072, burn=0.846588884057551803
block_number=12965073, burn=0.382981610857378164
block_number=12965074, burn=0.03379767699660759
block_number=12965075, burn=0.91526227297789176
block_number=12965076, burn=0.475274101087721304
block_number=12965077, burn=0.4547722700906712
block_number=12965078, burn=0.3149711876951507
block_number=12965079, burn=0.958392013970333544
block_number=12965080, burn=0.193910994934720788
block_number=12965081, burn=0.491425900772210496
block_number=12965082, burn=0.73326195918351297
block_number=12965083, burn=0.165651378437323134
block_number=12965084, burn=0.436082874189279096
block_number=12965085, burn=0.72405976119113529
block_number=12965086, burn=0.671334447002854356
block_number=12965087, burn=0.034022810466044297
block_number=12965088, burn=0.565420249554733349
block_number=12965089, burn=0.236837162825907987
block_number=12965090, burn=0.893048673787728398
block_number=12965091, burn=0.33030363970128863
block_number=12965092, burn=0.215382213140045037
block_number=12965093, burn=0.892693334668746582
block_number=12965094, burn=0.095845555464527904
block_number=12965095, burn=0.900745961066370589
block_number=12965096, burn=0.118558569928506966
block_number=12965097, burn=0.335767828847506659
block_number=12965098, burn=0.8846840338820352
block_number=12965099, burn=0.96865913520207625
block_number=12965100, burn=0.759414210105368161
block_number=12965101, burn=1.162401153181043278
block_number=12965102, burn=0
block_number=12965103, burn=0.152604053300356185
block_number=12965104, burn=1.038231907643463674
block_number=12965105, burn=0.253682169165322198
block_number=12965106, burn=1.083271981325656428
block_number=12965107, burn=0.116225302770120775
block_number=12965108, burn=0
block_number=12965109, burn=0.957335432426705213
block_number=12965110, burn=0.444514368692686846
block_number=12965111, burn=0
block_number=12965112, burn=0.922799560613013468
block_number=12965113, burn=1.038547987926226596
block_number=12965114, burn=0.493996826462925204
block_number=12965115, burn=1.148243309590585632
block_number=12965116, burn=1.2898518247241076
block_number=12965117, burn=0.8059832198281806
block_number=12965118, burn=0.29189785662242364
block_number=12965119, burn=1.361441784172953966
block_number=12965120, burn=0.008413259801238864
block_number=12965121, burn=0.104798216191080204
block_number=12965122, burn=1.199246448385061412
block_number=12965123, burn=1.350911106550814379
block_number=12965124, burn=1.083959514629584169
block_number=12965125, burn=0.449141553061084884
block_number=12965126, burn=0.379972976791086154
block_number=12965127, burn=1.418724259524451935
block_number=12965128, burn=0.130141999823886822
block_number=12965129, burn=1.427962083985351314
block_number=12965130, burn=0.385321921201244438
block_number=12965131, burn=1.30697509097782145
block_number=12965132, burn=0.14983413590278116
block_number=12965133, burn=0.192939974707476222
block_number=12965134, burn=1.333531700787340649
block_number=12965135, burn=0.67612687223947495
block_number=12965136, burn=0.211408631666263745
block_number=12965137, burn=1.061399226624660867
block_number=12965138, burn=1.444433978803650505
block_number=12965139, burn=0.438404836783655934
block_number=12965140, burn=0.568319531330113695
block_number=12965141, burn=0.78832858457230563
block_number=12965142, burn=0.372245267540322099
block_number=12965143, burn=0
block_number=12965144, burn=1.224792669654968931
block_number=12965145, burn=0.500618575969108444
block_number=12965146, burn=1.32420181446632247
block_number=12965147, burn=0.018213931885543251
block_number=12965148, burn=0.76789804365577258
block_number=12965149, burn=0.308310265935121422
block_number=12965150, burn=1.24627599849891816
block_number=12965151, burn=0.111878084637921245
block_number=12965152, burn=1.06626585725346492
block_number=12965153, burn=0.097480895620638374
block_number=12965154, burn=1.006782580143010288
block_number=12965155, burn=0.746692399243495116
block_number=12965156, burn=0.29210602741061256
block_number=12965157, burn=0.148339982166790128
block_number=12965158, burn=1.12835801056034693
block_number=12965159, burn=1.270275268600117661
block_number=12965160, burn=0.438360929982368568
block_number=12965161, burn=0.505234855660344294
block_number=12965162, burn=1.136319762309005421
block_number=12965163, burn=0.35953430438998086
block_number=12965164, burn=0.12531510028043864
block_number=12965165, burn=1.209072329614409704
block_number=12965166, burn=1.176728769629500934
block_number=12965167, burn=0.156674840424320614
block_number=12965168, burn=0.728334430482186864
block_number=12965169, burn=0.757574621714251285
block_number=12965170, burn=0.455356700789528535
block_number=12965171, burn=0.882149377158805525
block_number=12965172, burn=0.199766790673623915
block_number=12965173, burn=1.24812882691654696
block_number=12965174, burn=1.257468798038449758
block_number=12965175, burn=0.213580063454292115
block_number=12965176, burn=0.543876534799979922
block_number=12965177, burn=1.036980753818046322
block_number=12965178, burn=0.067240710771451021
block_number=12965179, burn=0.88229807004035862
block_number=12965180, burn=0.038716390799886776
block_number=12965181, burn=0.728370437215737722
block_number=12965182, burn=0.89692353985665804
block_number=12965183, burn=1.295096176060760675
block_number=12965184, burn=0.918895147512363756
block_number=12965185, burn=0.32262928128581832
block_number=12965186, burn=1.394117636017885917
block_number=12965187, burn=0.853868772944928675
block_number=12965188, burn=0.227265489610715376
block_number=12965189, burn=0.170196289673441492
block_number=12965190, burn=1.30352939558910145
block_number=12965191, burn=0.57038593356683065
block_number=12965192, burn=0.561427594292750634
block_number=12965193, burn=1.384032781241485376
block_number=12965194, burn=0.580825446032804248
block_number=12965195, burn=0.503190566374560175
block_number=12965196, burn=0.165973143473872371
block_number=12965197, burn=1.301260458385072817
block_number=12965198, burn=0.56814499037657011
block_number=12965199, burn=1.422472501633407812
block_number=12965200, burn=0.221718288472450593
block_number=12965201, burn=0
block_number=12965202, burn=1.272546660522051348
block_number=12965203, burn=0.192872659521668302
block_number=12965204, burn=1.295150895938185736
block_number=12965205, burn=0.787187010632754735
block_number=12965206, burn=0.83789569774002151
block_number=12965207, burn=0.357021588373952152
block_number=12965208, burn=0.435604207145500301
block_number=12965209, burn=1.33926710829181928
block_number=12965210, burn=0.915534847817137661
block_number=12965211, burn=0.048104384637775155
block_number=12965212, burn=1.356195818874891412
block_number=12965213, burn=0.820117671721058039
block_number=12965214, burn=0.36743359066326251
block_number=12965215, burn=0.2869982404947372
block_number=12965216, burn=1.332472099941482643
block_number=12965217, burn=0.13212574023966261
block_number=12965218, burn=0.687992300962104776
block_number=12965219, burn=0.453195498229048953
block_number=12965220, burn=1.293178459418236272
block_number=12965221, burn=0.082258479283403121
block_number=12965222, burn=1.175800363956191688
block_number=12965223, burn=0.078630200329750122
block_number=12965224, burn=1.21316526293884056
block_number=12965225, burn=0.17672759772533936
block_number=12965226, burn=1.279158411111516495
block_number=12965227, burn=0.543056201626919784
block_number=12965228, burn=0.593540827601711262
block_number=12965229, burn=0.218880262083985469
block_number=12965230, burn=1.175560013449707704
block_number=12965231, burn=0.18031950746259352
block_number=12965232, burn=1.260863854884372344
block_number=12965233, burn=0.0463306228268486
block_number=12965234, burn=1.250204817501583008
block_number=12965235, burn=0.100735526599083888
block_number=12965236, burn=0.951190558756860758
block_number=12965237, burn=0.68398992228887887
block_number=12965238, burn=0.5103699412724892
block_number=12965239, burn=1.297091372382958704
block_number=12965240, burn=0.395001030049792075
block_number=12965241, burn=1.375199416073981332
block_number=12965242, burn=0.145915573379330484
block_number=12965243, burn=1.114374903212963295
block_number=12965244, burn=0.261691464490857282
block_number=12965245, burn=1.373638978565719782
block_number=12965246, burn=0.546144357818595348
block_number=12965247, burn=1.489029353415129108
block_number=12965248, burn=1.328248118869552294
block_number=12965249, burn=0.148977648320982192
block_number=12965250, burn=1.020489283520862273
block_number=12965251, burn=1.658028249305812486
block_number=12965252, burn=0.283173149176365312
block_number=12965253, burn=1.703470020124480118
block_number=12965254, burn=1.319141402118745947
block_number=12965255, burn=0.011299857672692975
block_number=12965256, burn=1.675149216626331336
